Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
P Kumar,4,30,9,20,4,6,0,3
JH Kallis,4,17,11,13,4,0,0,1
B Akhil,2,20,2,8,12,0,0,0
RE van der Merwe,4,31,3,23,8,0,0,1
A Kumble,4,22,9,18,4,0,2,2
V Kohli,2,11,5,11,0,0,1,0
