Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
AS Rajpoot,4,14,17,6,8,0,1,5
BB Sran,3,26,10,6,20,0,2,0
R Ashwin,4,34,8,18,4,12,0,0
MK Tiwary,1,7,1,7,0,0,3,0
Mujeeb Ur Rahman,4,15,12,15,0,0,2,1
AJ Tye,4,28,8,16,12,0,0,0
