Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
SR Watson,13,11,8,3,8,0,True,bowled,L Balaji
AG Paunikar,14,15,7,7,8,0,True,stumped,Iqbal Abdulla
FY Fazal,4,3,1,3,0,0,True,run out,
AS Raut,15,11,8,7,4,0,True,run out,
AL Menaria,17,21,6,11,4,6,True,caught,L Balaji
LRPL Taylor,8,6,5,6,0,0,True,stumped,YK Pathan
AM Rahane,9,6,3,6,0,0,True,bowled,L Balaji
SK Warne,6,3,3,3,0,0,False,,
A Singh,2,0,2,0,0,0,True,bowled,Shakib Al Hasan
SW Tait,1,0,1,0,0,0,True,bowled,Shakib Al Hasan
SK Trivedi,2,0,2,0,0,0,True,bowled,B Lee
