Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
M Vijay,13,14,7,6,8,0,True,caught,A Nehra
ML Hayden,19,30,8,8,16,6,True,caught,PJ Sangwan
SK Raina,21,32,8,12,8,12,True,caught,R Bhatia
S Badrinath,33,45,13,17,16,12,True,bowled,R Bhatia
JA Morkel,4,6,1,2,4,0,True,caught and bowled,A Nehra
MS Dhoni,7,6,3,6,0,0,True,caught,DP Nannes
JDP Oram,7,3,4,3,0,0,True,caught,DP Nannes
SB Jakati,8,13,3,5,8,0,True,caught,DP Nannes
L Balaji,3,2,2,2,0,0,True,caught,A Nehra
M Muralitharan,4,3,1,3,0,0,True,run out,
