Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
CH Gayle,10,27,3,3,12,12,True,bowled,DW Steyn
TM Dilshan,12,4,10,4,0,0,True,lbw,DW Steyn
V Kohli,40,42,21,16,8,18,True,caught,A Ashish Reddy
SS Tiwary,27,30,9,20,4,6,True,caught,V Pratap Singh
AB de Villiers,11,4,7,4,0,0,True,caught,A Mishra
MA Agarwal,2,1,1,1,0,0,True,bowled,A Mishra
Z Khan,4,0,4,0,0,0,True,bowled,DW Steyn
R Vinay Kumar,7,7,3,3,4,0,True,caught,A Ashish Reddy
HV Patel,5,5,0,5,0,0,False,,
M Muralitharan,1,0,1,0,0,0,True,caught,A Ashish Reddy
P Parameswaran,1,0,2,0,0,0,False,,
